,austingw.LAT_DD_WGS84,austingw.LON_DD_WGS84,austingw.PARAMETER,austingw.RESULT,austingw.SAMPLE_DATE,austingw.SITE_NAME,austingw.SITE_TYPE,austingw.WATERSHED,austingw.UNIT,header
5626,30.26408358,-97.76867081,Flow (Cubic feet per second),28.24,8/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5627,30.26408358,-97.76867081,Flow (Cubic feet per second),26.96,8/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5631,30.26405122,-97.77013586,Flow (Cubic feet per second),6.79,8/7/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5632,30.26405122,-97.77013586,Flow (Cubic feet per second),6.03,8/7/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5633,30.26400706,-97.76938256,Flow (Cubic feet per second),12.99,8/7/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5634,30.26408358,-97.76867081,Flow (Cubic feet per second),22.41,8/14/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5637,30.26405122,-97.77013586,Flow (Cubic feet per second),7.43,8/14/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5638,30.26400706,-97.76938256,Flow (Cubic feet per second),9.12,8/14/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5640,30.26397896,-97.76811596,Flow (Cubic feet per second),0,8/20/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5641,30.26408358,-97.76867081,Flow (Cubic feet per second),24.9,8/20/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5644,30.26405122,-97.77013586,Flow (Cubic feet per second),7.3,8/20/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5645,30.26400706,-97.76938256,Flow (Cubic feet per second),8.83,8/20/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5647,30.26397896,-97.76811596,Flow (Cubic feet per second),0.13,8/29/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5648,30.26408358,-97.76867081,Flow (Cubic feet per second),20.71,8/29/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5651,30.26405122,-97.77013586,Flow (Cubic feet per second),8.21,8/29/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5652,30.26400706,-97.76938256,Flow (Cubic feet per second),9.13,8/29/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5653,30.26397896,-97.76811596,Flow (Cubic feet per second),0.09,9/5/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5654,30.26408358,-97.76867081,Flow (Cubic feet per second),22.46,9/5/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5657,30.26405122,-97.77013586,Flow (Cubic feet per second),7.5,9/5/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5658,30.26400706,-97.76938256,Flow (Cubic feet per second),7.5,9/5/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5659,30.26408358,-97.76867081,Flow (Cubic feet per second),21.51,9/5/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5662,30.26405122,-97.77013586,Flow (Cubic feet per second),7.63,9/5/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5663,30.26408358,-97.76867081,Flow (Cubic feet per second),24.69,9/5/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5664,30.26408358,-97.76867081,Flow (Cubic feet per second),24.74,9/19/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5667,30.26405122,-97.77013586,Flow (Cubic feet per second),8.61,9/19/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5668,30.26397896,-97.76811596,Flow (Cubic feet per second),0.02,9/19/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5669,30.26400706,-97.76938256,Flow (Cubic feet per second),7.32,9/19/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5670,30.26408358,-97.76867081,Flow (Cubic feet per second),34.39,9/19/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5673,30.26405122,-97.77013586,Flow (Cubic feet per second),8.84,9/19/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5674,30.26408358,-97.76867081,Flow (Cubic feet per second),35.56,9/19/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5675,30.26408358,-97.76867081,Flow (Cubic feet per second),23.39,9/26/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5678,30.26405122,-97.77013586,Flow (Cubic feet per second),8.15,9/26/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5680,30.26400706,-97.76938256,Flow (Cubic feet per second),7.08,9/26/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5681,30.26408358,-97.76867081,Flow (Cubic feet per second),22.45,9/26/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5684,30.26405122,-97.77013586,Flow (Cubic feet per second),7.91,9/26/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5685,30.26408358,-97.76867081,Flow (Cubic feet per second),22.72,9/26/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5686,30.26353512,-97.77097968,Flow (Cubic feet per second),14,10/3/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5687,30.26353512,-97.77097968,Flow (Cubic feet per second),18,10/3/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5688,30.26353512,-97.77097968,Flow (Cubic feet per second),18.8,10/3/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5689,30.26353512,-97.77097968,Flow (Cubic feet per second),22.8,10/3/2008,Barton Spring,Spring,Barton Creek,Cubic Feet Per Second,TRUE
5692,30.26389528,-97.7708186,Flow (Cubic feet per second),8.8,10/3/2008,Barton Springs Pool Bypass Downstream Leaking Seam,Stream,Barton Creek,Feet,TRUE
5693,30.26408358,-97.76867081,Flow (Cubic feet per second),22.53,10/3/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5695,30.26405122,-97.77013586,Flow (Cubic feet per second),8.75,10/3/2008,Barton Springs Pool Bypass Tunnel U/S of Eliza Spg,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5696,30.26400706,-97.76938256,Flow (Cubic feet per second),4.8,10/3/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5698,30.26408358,-97.76867081,Flow (Cubic feet per second),24.33,10/3/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5700,30.26397896,-97.76811596,Flow (Cubic feet per second),0.36,10/3/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5701,30.26408358,-97.76867081,Flow (Cubic feet per second),22.59,10/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5703,30.26408358,-97.76867081,Flow (Cubic feet per second),22.9,10/10/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5704,30.26400706,-97.76938256,Flow (Cubic feet per second),6.98,10/10/2008,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5705,30.26408358,-97.76867081,Flow (Cubic feet per second),22.21,10/10/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5706,30.26408358,-97.76867081,Flow (Cubic feet per second),21.83,10/10/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5708,30.26408358,-97.76867081,Flow (Cubic feet per second),19.82,10/10/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5709,30.26408358,-97.76867081,Flow (Cubic feet per second),24.8,10/17/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5710,30.26408358,-97.76867081,Flow (Cubic feet per second),24,10/17/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5711,30.26397896,-97.76811596,Flow (Cubic feet per second),0.8,10/17/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5712,30.26408358,-97.76867081,Flow (Cubic feet per second),25.3,10/17/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5714,30.26408358,-97.76867081,Flow (Cubic feet per second),19.796,10/31/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5715,30.26397896,-97.76811596,Flow (Cubic feet per second),0.9,10/31/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5716,30.26408358,-97.76867081,Flow (Cubic feet per second),20.235,10/31/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5717,30.26408358,-97.76867081,Flow (Cubic feet per second),19.895,11/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5718,30.26408358,-97.76867081,Flow (Cubic feet per second),18.344,11/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5719,30.26408358,-97.76867081,Flow (Cubic feet per second),19.717,11/7/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5720,30.26397896,-97.76811596,Flow (Cubic feet per second),0.83,11/7/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5721,30.26397896,-97.76811596,Flow (Cubic feet per second),0.59,11/14/2008,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5722,30.26408358,-97.76867081,Flow (Cubic feet per second),18.158,11/14/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5723,30.26408358,-97.76867081,Flow (Cubic feet per second),18.973,11/21/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5724,30.26408358,-97.76867081,Flow (Cubic feet per second),18.917,11/21/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5725,30.26408358,-97.76867081,Flow (Cubic feet per second),20.228,12/5/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5726,30.26408358,-97.76867081,Flow (Cubic feet per second),19.171,12/5/2008,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5727,30.26408358,-97.76867081,Flow (Cubic feet per second),18.282,1/5/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5728,30.26397896,-97.76811596,Flow (Cubic feet per second),0.41,1/8/2009,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5729,30.26408358,-97.76867081,Flow (Cubic feet per second),19.868,1/8/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5730,30.26397896,-97.76811596,Flow (Cubic feet per second),0.11,1/15/2009,Barton Creek @ Upper Sunken Garden Pipe Outfall,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5731,30.26408358,-97.76867081,Flow (Cubic feet per second),20.796,1/15/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5732,30.26408358,-97.76867081,Flow (Cubic feet per second),16.96,1/23/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5733,30.26408358,-97.76867081,Flow (Cubic feet per second),15.076,2/5/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5736,30.26408358,-97.76867081,Flow (Cubic feet per second),21.9,2/12/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5737,30.26408358,-97.76867081,Flow (Cubic feet per second),19.3,2/12/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5738,30.26408358,-97.76867081,Flow (Cubic feet per second),22.2,2/12/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5744,30.26353512,-97.77097968,Conductivity (uS/cm),700,2/25/2009,Barton Spring,Spring,Barton Creek,uS/cm,TRUE
5745,30.26353512,-97.77097968,Water temperature (Deg. Celsius),21.88,2/25/2009,Barton Spring,Spring,Barton Creek,Deg. Celsius,TRUE
5746,30.26353512,-97.77097968,pH (Standard units),7.31,2/25/2009,Barton Spring,Spring,Barton Creek,Standard units,TRUE
5747,30.26353512,-97.77097968,Turbidity (NTU),0,2/25/2009,Barton Spring,Spring,Barton Creek,NTU,TRUE
5749,30.26400706,-97.76938256,Conductivity (uS/cm),692,2/25/2009,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,uS/cm,TRUE
5750,30.26400706,-97.76938256,Water temperature (Deg. Celsius),22.11,2/25/2009,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Deg. Celsius,TRUE
5751,30.26400706,-97.76938256,pH (Standard units),7.38,2/25/2009,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,Standard units,TRUE
5752,30.26400706,-97.76938256,Turbidity (NTU),0,2/25/2009,Barton Spring Pool @ Downstream Dam,Stream,Barton Creek,NTU,TRUE
5755,30.26408358,-97.76867081,Flow (Cubic feet per second),18.656,2/27/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5756,30.26408358,-97.76867081,Flow (Cubic feet per second),25.753,3/3/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5757,30.26408358,-97.76867081,Flow (Cubic feet per second),20.505,3/6/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5758,30.26408358,-97.76867081,Flow (Cubic feet per second),19.127,3/6/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5759,30.26408358,-97.76867081,Flow (Cubic feet per second),16.894,4/16/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5760,30.26408358,-97.76867081,Flow (Cubic feet per second),15.609,4/16/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5761,30.26408358,-97.76867081,Flow (Cubic feet per second),17.309,5/21/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5762,30.26408358,-97.76867081,Flow (Cubic feet per second),17.055,6/10/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5763,30.26408358,-97.76867081,Flow (Cubic feet per second),17.154,6/10/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5764,30.26408358,-97.76867081,Flow (Cubic feet per second),17.573,6/10/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5765,30.26408358,-97.76867081,Flow (Cubic feet per second),15.155,6/24/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5766,30.26408358,-97.76867081,Flow (Cubic feet per second),20.976,6/29/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5767,30.26408358,-97.76867081,Flow (Cubic feet per second),18.368,7/1/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5768,30.26408358,-97.76867081,Flow (Cubic feet per second),14.542,7/1/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5769,30.26408358,-97.76867081,Flow (Cubic feet per second),18.236,7/1/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5770,30.26408358,-97.76867081,Flow (Cubic feet per second),17.537,7/8/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5771,30.26408358,-97.76867081,Flow (Cubic feet per second),16.935,7/8/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5772,30.26408358,-97.76867081,Flow (Cubic feet per second),14.593,7/13/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5773,30.26408358,-97.76867081,Flow (Cubic feet per second),15.797,7/21/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5774,30.26408358,-97.76867081,Flow (Cubic feet per second),14.157,7/21/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5775,30.26408358,-97.76867081,Flow (Cubic feet per second),15.895,7/21/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5776,30.26408358,-97.76867081,Flow (Cubic feet per second),14.559,7/30/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5777,30.26408358,-97.76867081,Flow (Cubic feet per second),15.461,7/30/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5778,30.26408358,-97.76867081,Flow (Cubic feet per second),16.9,8/14/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5779,30.26408358,-97.76867081,Flow (Cubic feet per second),16.421,8/14/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5780,30.26408358,-97.76867081,Flow (Cubic feet per second),14.092,8/14/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5781,30.26408358,-97.76867081,Flow (Cubic feet per second),14.362,8/20/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5782,30.26408358,-97.76867081,Flow (Cubic feet per second),15.14,8/20/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5783,30.26408358,-97.76867081,Flow (Cubic feet per second),14.301,9/4/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5784,30.26408358,-97.76867081,Flow (Cubic feet per second),13.87,9/4/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5785,30.26408358,-97.76867081,Flow (Cubic feet per second),12.063,9/4/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5786,30.26408358,-97.76867081,Flow (Cubic feet per second),18.519,9/11/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5787,30.26408358,-97.76867081,Flow (Cubic feet per second),18.178,9/11/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
5789,30.26408358,-97.76867081,Flow (Cubic feet per second),21.019,9/18/2009,Barton Creek Downstream of Barton Spring Pool,Stream,Barton Creek,Cubic Feet Per Second,TRUE
